repo_name,feature_file,scenario_count,scenarios,commits,first_seen,last_modified
gherkin,inconsistent_cell_count.feature,2,minimalistic | Outline: minimalistic,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,invalid_language.feature,1,minimalistic,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,multiple_parser_errors.feature,1,minimalistic,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,single_parser_error.feature,1,minimalistic,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,unexpected_eof.feature,2,minimalistic | Outline: minimalistic,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,background.feature,2,minimalistic | also minimalistic,24,2017-01-08T14:15:52+00:00,2022-06-02T09:31:47+02:00
gherkin,datatables.feature,1,minimalistic,16,2017-01-08T14:15:52+00:00,2025-09-11T18:22:16+02:00
gherkin,descriptions.feature,11,description with escaped docstring separator | outline description | without indentation | scenario outline with a description | empty lines around | Outline: scenario outline with a description | description | two lines | empty lines in the middle | comment right after description | comment after description,15,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,docstrings.feature,1,minimalistic,23,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,escaped_pipes.feature,1,They are the future,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,example_token_multiple.feature,2,Token used twice in a single step | Outline: Token used twice in a single step,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,example_tokens_everywhere.feature,2,the <one> | Outline: the <one>,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,i18n_no.feature,1,Parsing many languages,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,incomplete_background_1.feature,1,still pickles up,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,incomplete_background_2.feature,1,still pickles up,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,incomplete_scenario.feature,1,no steps,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,incomplete_scenario_outline.feature,11,"Outline: no steps, no table | Outline: no steps, no examples | outlines | no steps, one example header | Outline: steps, no examples | steps, no examples | no steps, only table header | no steps, no table | Outline: no steps, one example header | Outline: no steps, only table header | no steps, no examples",13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,language.feature,1,minimalistic,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,minimal.feature,1,minimalistic,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
gherkin,readme_example.feature,3,Given <x> | Outline: | Given <m>,13,2017-01-08T14:15:52+00:00,2022-03-03T06:04:51-08:00
